feature,importance,mean,std,min,max
t053_y_max,0.00897388434604887,0.6143618493761118,0.40485174251783196,0.0,1.0
t052_y_mean,0.008422977107274975,0.6050469480380712,0.40326687429515395,0.0,1.0
t050_y_mean,0.00827925299941372,0.5871922027067359,0.39807395551660263,0.0,1.0
t054_y_min,0.007641916476611408,0.6242593206067298,0.4054971112178286,0.0,1.0
t050_y_max,0.0075117029510271315,0.5871922046453525,0.39807395682751506,0.0,1.0
t050_y_min,0.007431483469500561,0.5871922046453525,0.39807395682751506,0.0,1.0
t059_cumulative_distance,0.00727197029030621,2.647700809482559,0.690173353982985,1.0,5.123194694519043
t058_y_mean,0.007113177587826323,0.6670170915160937,0.41112859060640417,0.0,1.0
t056_y_max,0.00696655275258028,0.6446073718001673,0.40745178917799524,0.0,1.0
t037_y_min,0.006826251040712338,0.48769134566766686,0.36553839114449027,0.0,1.0
t028_y_min,0.006504972462264743,0.37351859844469676,0.3549821119230234,0.0,1.0
t058_stroke_length,0.006092584564432227,2.5627111348497915,0.6739150597639838,1.0,5.123194694519043
t059_stroke_length,0.0060586350131037955,2.647700809482559,0.690173353982985,1.0,5.123194694519043
t048_y_mean,0.006056055564004072,0.5743708929993153,0.39327622762528963,0.0,1.0
t023_y_mean,0.0059114470515070705,0.33810971261649597,0.3516035432380073,0.0,1.0
t054_y_mean,0.005885113265443496,0.6242593206615518,0.4054971102542271,0.0,1.0
t025_y_mean,0.005789639350690508,0.3450120124901901,0.34810055098855897,0.0,1.0
t025_y_min,0.005697150224532705,0.34501201202851756,0.3481005497464256,0.0,1.0
t033_y_min,0.005638544662029043,0.43785369113751826,0.36379784266349974,0.0,1.0
t052_y_min,0.0055537684917073655,0.6050469484391707,0.40326687488615504,0.0,1.0
t052_y_max,0.0054831738079799165,0.6050469484391707,0.40326687488615504,0.0,1.0
t047_y_max,0.005470545137013535,0.5675312941211212,0.39005096035259496,0.0,1.0
t027_y_min,0.00539903850524698,0.3639709360933718,0.35326265308910176,0.0,1.0
t054_y_max,0.005383627687625076,0.6242593206067298,0.4054971112178286,0.0,1.0
t051_y_mean,0.00530753932722923,0.5973168023186644,0.4024393888986351,0.0,1.0
t046_y_mean,0.005239093508615164,0.558804697880848,0.3865058131334925,0.0,1.0
t026_y_mean,0.005148712782643062,0.3489398560821602,0.3489610779080279,0.0,1.0
t044_y_max,0.005141542425673156,0.5428963991129712,0.37968748400694435,0.0,1.0
t051_y_max,0.005104117408538758,0.5973168009521062,0.40243938770132914,0.0,1.0
t026_y_min,0.005096782081080164,0.3489398563760277,0.3489610780149585,0.0,1.0
t053_y_min,0.00503650581723403,0.6143618493761118,0.40485174251783196,0.0,1.0
